ID,PDB ID,Name,Type,Description,Bio Relevance,Notoriety,Discovery Year,Fun Fact
214,1SOD,Superoxide Dismutase,enzyme,"Neutralizes dangerous superoxide radicals",90,78,1975,"Mutations cause Lou Gehrig's disease (ALS)"
215,1CA2,Carbonic Anhydrase,enzyme,"Interconverts CO2 and bicarbonate",88,72,1972,"One of fastest enzymes, 1 million reactions per second"
216,1CAT,Catalase,enzyme,"Destroys hydrogen peroxide",90,75,1981,"Makes bubbles when you put peroxide on a cut"
217,1GPX,Glutathione Peroxidase,enzyme,"Selenium-containing antioxidant enzyme",88,68,2003,"One of few proteins that contains selenium"
218,1GST,Glutathione S-Transferase,enzyme,"Detoxifies harmful compounds",85,65,1991,"Protects cells from drugs and environmental toxins"
219,1CKW,Casein Kinase,enzyme,"Constitutively active phosphorylation enzyme",82,58,1995,"First protein kinase discovered"
220,1CDK,Cyclin-Dependent Kinase 2,enzyme,"Drives cell cycle, cancer drug target",95,82,1996,"Won Nobel Prize for cell cycle discovery"
221,1FIN,Cyclin A,regulatory,"Cell cycle regulator",90,70,1996,"Controls DNA replication timing"
222,1W26,Aurora Kinase,enzyme,"Regulates chromosome separation",88,70,2004,"Cancer drug target, named after aurora borealis"
223,1BLX,BCL-2,regulatory,"Blocks programmed cell death",92,80,1997,"Overexpressed in many cancers to avoid death"
224,1F16,BAX,regulatory,"Promotes programmed cell death",90,75,2000,"Makes pores in mitochondria to trigger death"
225,1NW9,Caspase-3,enzyme,"Executioner of programmed cell death",92,78,2003,"Cuts proteins to systematically kill the cell"
226,1SC4,Caspase-9,enzyme,"Initiator caspase in intrinsic pathway",88,70,2001,"Activated by cytochrome c release from mitochondria"
227,1DCP,DFF/CAD Nuclease,enzyme,"Cuts DNA during apoptosis",82,60,1998,"Makes DNA ladder pattern seen in dying cells"
228,1FAS,Fas Death Receptor,receptor,"Triggers cell death from outside",88,72,2000,"Immune cells use this to kill targets"
229,1TNR,TNF Receptor,receptor,"Death and inflammation signaling receptor",90,75,1993,"TNF blockers revolutionized arthritis treatment"
230,1GDN,Gelsolin,regulatory,"Severs and caps actin filaments",80,55,1999,"Mutations cause Finnish-type amyloidosis"
231,1PRO,Profilin,regulatory,"Supplies actin monomers for growth",82,58,1992,"Regulates how fast actin filaments grow"
232,1COF,Cofilin,regulatory,"Severs and depolymerizes actin",82,55,1998,"Creates new ends for actin filament remodeling"
233,1A1S,Prostate Specific Antigen,enzyme,"Serine protease, prostate cancer marker",85,88,1991,"PSA blood test for prostate cancer screening"
234,1A4G,Alpha-1-Antitrypsin,regulatory,"Protease inhibitor, deficiency causes lung disease",88,75,1996,"Deficiency is genetic cause of emphysema"
235,1ANT,Antithrombin,regulatory,"Inhibits blood clotting proteases",88,70,1991,"Heparin works by activating antithrombin"
236,1AQC,Plasminogen Activator Inhibitor,regulatory,"Regulates clot breakdown",85,65,1991,"High levels predict heart attack risk"
237,1TPG,Tissue Plasminogen Activator,enzyme,"Clot-busting enzyme, stroke treatment",92,85,1991,"Given as emergency treatment for strokes"
238,1UKI,Urokinase,enzyme,"Another clot-dissolving enzyme",85,70,1987,"Originally purified from urine"
239,1PLU,Plasmin,enzyme,"Dissolves blood clots",88,68,1991,"Made from plasminogen when needed"
240,1FIB,Fibrinogen,structural,"Precursor to fibrin clot network",92,75,1997,"Converted to fibrin mesh that traps blood cells"
241,1VGC,Factor VIII,enzyme,"Clotting factor missing in hemophilia A",92,85,2001,"Royal disease - Queen Victoria was a carrier"
242,1RF9,Factor IX,enzyme,"Clotting factor missing in hemophilia B",90,78,1999,"Also called Christmas factor after patient"
243,1PPF,Factor VIIa,enzyme,"Initiates blood clotting cascade",88,68,1995,"Recombinant form used to treat hemophilia"
244,1Z71,Von Willebrand Factor,structural,"Platelet adhesion protein",88,72,2006,"Deficiency causes most common bleeding disorder"
245,2PKS,Polyketide Synthase,enzyme,"Makes antibiotics and natural products",85,68,2007,"Source of many important drugs"
246,1PEN,Penicillin Acylase,enzyme,"Makes penicillin antibiotics",82,78,1995,"Used industrially to make semisynthetic penicillins"
247,1BLC,Beta-Lactamase,enzyme,"Antibiotic resistance enzyme",90,85,1992,"Destroys penicillin-type antibiotics"
248,1M2D,Tetracycline Efflux Pump,transport,"Pumps antibiotics out of bacteria",88,75,2002,"Major mechanism of antibiotic resistance"
249,1DDG,Dihydropteroate Synthase,enzyme,"Folate synthesis, sulfa drug target",85,72,1997,"Target of sulfonamide antibiotics"
250,1DF7,Vancomycin Target Protein,enzyme,"Last-resort antibiotic target",88,80,1996,"VRSA bacteria evolved resistance by modifying this"
251,1HUP,HU Protein,structural,"Bacterial DNA packaging protein",78,52,1990,"Helps compact bacterial chromosome"
252,1AZP,Azurin,enzyme,"Copper electron transfer protein",72,55,1991,"Being studied as cancer-killing agent"
253,1PCY,Plastocyanin,enzyme,"Copper protein in photosynthesis",82,55,1983,"Shuttles electrons in plant chloroplasts"
254,1RDG,Rubredoxin,enzyme,"Simple iron-sulfur protein",70,50,1994,"One of simplest iron proteins known"
255,1HRP,Horseradish Peroxidase,enzyme,"Widely used lab enzyme",75,78,1997,"Used in pregnancy tests and lab assays"
256,1MNP,Manganese Peroxidase,enzyme,"Breaks down lignin in wood",78,55,1994,"Could help make biofuels from plants"
257,1LGA,Lignin Peroxidase,enzyme,"Degrades tough plant lignin",80,58,1993,"White rot fungi use this to digest wood"
258,1LAC,Laccase,enzyme,"Oxidizes phenolic compounds",75,60,1998,"Used in bioremediation and wine making"
259,1CEL,Cellulase,enzyme,"Breaks down cellulose",88,72,1998,"Key enzyme for making biofuels from plants"
260,1AMY,Alpha-Amylase,enzyme,"Starch digesting enzyme in saliva",85,70,1990,"More copies of this gene in populations with starchy diets"
261,1GAI,Glucoamylase,enzyme,"Converts starch to glucose",80,58,1993,"Used industrially to make corn syrup"
262,1GUH,Invertase,enzyme,"Splits sucrose into glucose and fructose",75,55,1996,"Used to make candy filling soft"
263,1BGL,Beta-Glucosidase,enzyme,"Releases glucose from various sources",78,52,1995,"Releases flavor compounds in wine"
264,1LBG,Beta-Galactosidase,enzyme,"Lactose digesting enzyme",85,75,1994,"Lactose intolerance is deficiency of this enzyme"
265,1XYZ,Xylanase,enzyme,"Breaks down plant hemicellulose",78,55,1994,"Used in bread making and paper production"
266,1PHP,Pectin Lyase,enzyme,"Softens plant cell walls",72,48,1996,"Makes fruits ripen and soften"
267,1CHI,Chitinase,enzyme,"Breaks down chitin in fungi and insects",78,55,1994,"Plants use this for defense against fungi"
268,1HYA,Hyaluronidase,enzyme,"Breaks down hyaluronic acid",80,60,1993,"Spreading factor that helps infections spread"
269,1HEP,Heparanase,enzyme,"Remodels extracellular matrix",82,58,2008,"Helps cancer cells spread, drug target"
270,1COL,Collagenase,enzyme,"Breaks down collagen",82,62,1995,"Used medically to remove scar tissue"
271,1MMQ,Matrix Metalloproteinase 1,enzyme,"Remodels extracellular matrix",85,68,1999,"Involved in arthritis and cancer spread"
272,1GEO,Gelatinase,enzyme,"Degrades basement membrane",82,62,1999,"Cancer cells use this to invade tissues"
273,1EVE,Acetylcholinesterase Torpedo,enzyme,"Electric ray neurotransmitter enzyme",80,70,1991,"Used as model for drug design"
274,1BTL,Butyrylcholinesterase,enzyme,"Metabolizes cocaine and nerve agents",85,68,1999,"Breaks down cocaine in blood"
275,1POD,Paraoxonase,enzyme,"Detoxifies organophosphates",82,60,1991,"Protects against pesticide poisoning"
276,1DG9,Alpha-Fetoprotein,transport,"Fetal albumin, tumor marker",85,72,2004,"Blood test marker for liver cancer"
277,1AO6,Albumin,transport,"Most abundant blood protein",95,82,1989,"Carries drugs, hormones, and maintains blood pressure"
278,1LCF,Lactoferrin,immune,"Iron-binding antimicrobial protein",85,68,1993,"Found in breast milk, provides infant immunity"
279,1OVA,Ovalbumin,storage,"Main egg white protein",75,72,1991,"Common allergen and lab protein standard"
280,1BEB,Beta-Lactoglobulin,transport,"Main whey protein in milk",75,65,1997,"Not found in human milk, only cow milk"
281,1CAS,Casein,structural,"Main protein in cheese",78,72,2011,"Makes cheese stretchy when melted"
282,1GLI,Gluten,structural,"Wheat protein, celiac disease trigger",80,88,2004,"Gives bread its chewy texture"
283,1ZEI,Zein,storage,"Corn storage protein",72,55,1992,"Used to coat pills and make biodegradable plastics"
284,1CRU,Cruciferin,storage,"Canola/rapeseed storage protein",70,48,2003,"Main protein in canola meal"
285,1GCP,Glycinin,storage,"Soybean storage protein",75,55,2004,"Makes tofu firm when precipitated"
286,1LEA,Legumin,storage,"Legume seed storage protein",72,50,2002,"Major protein in peas and beans"
287,1ARA,Ara h 1 Peanut Allergen,storage,"Major peanut allergen",80,85,1999,"Causes most peanut allergic reactions"
288,1W2Q,Patatin,storage,"Potato storage protein",70,48,2005,"Also has lipase enzyme activity"
289,1SPB,Spider Silk Spidroin,structural,"Strongest natural fiber",75,82,2006,"Stronger than steel by weight, stretches like rubber"
290,1SLK,Silkworm Fibroin,structural,"Silk protein from silkworms",72,75,2005,"5,000 years of silk production by humans"
291,1RES,Resilin,structural,"Super-elastic insect protein",72,60,2002,"Allows fleas to jump 150 times their height"
292,1ANF,Antifreeze Protein,regulatory,"Prevents ice crystal formation",75,72,1998,"Arctic fish survive freezing waters with this"
293,1AIS,Ice Nucleation Protein,structural,"Promotes ice crystal formation",70,58,1990,"Bacteria use this to damage plant cells for nutrients"
294,1BFI,Barnacle Cement Protein,structural,"Underwater super-glue",68,55,2006,"Inspires surgical glue development"
295,1MVG,Mussel Foot Protein,structural,"Marine adhesive protein",70,62,2004,"Sticks to surfaces even underwater"
296,1LUC,Luciferase,enzyme,"Firefly glow enzyme",75,85,1996,"Widely used to light up cells in research"
297,1AEQ,Aequorin,enzyme,"Jellyfish calcium sensor",72,78,1985,"Shimomura's GFP discovery came from this"
298,1OPH,Opsin,receptor,"Light-sensing protein in eyes",90,72,2000,"Color blindness comes from opsin mutations"
299,1PHC,Phytochrome,receptor,"Plant light sensor for day length",82,60,2005,"Controls when plants flower"
300,1CRY,Cryptochrome,receptor,"Blue light sensor, circadian rhythm",85,68,2004,"Helps birds navigate using Earth's magnetic field"
301,1VCR,Venus Flytrap Domain,receptor,"Sensor domain in many receptors",80,55,1997,"Named for resemblance to the carnivorous plant"
302,1REG,Regeneration Protein,signaling,"Promotes nerve regeneration",82,58,1997,"Being studied for spinal cord repair"
303,1NGF,Nerve Growth Factor,signaling,"First neurotrophin discovered",92,82,1991,"Rita Levi-Montalcini won Nobel for discovery"
304,1BND,BDNF,signaling,"Brain-derived neurotrophic factor",92,80,1999,"Exercise increases BDNF and improves mood"
305,1NTF,Neurotrophin-3,signaling,"Nerve development factor",85,60,1991,"Important for sensory neuron development"
306,1B8T,NT-4,signaling,"Neurotrophin-4, nerve survival factor",82,55,1995,"Supports motor neuron survival"
307,1AGW,Angiopoietin,signaling,"Blood vessel formation protein",85,62,2001,"Stabilizes new blood vessels"
308,1REW,Erythropoietin,signaling,"Stimulates red blood cell production",92,88,1998,"Doping drug EPO used by athletes illegally"
309,1GCS,G-CSF,signaling,"Stimulates white blood cell production",88,72,1999,"Given to cancer patients after chemotherapy"
310,1TPO,Thrombopoietin,signaling,"Stimulates platelet production",85,62,1997,"Drugs mimicking this treat low platelet counts"
311,1ALP,Alpha-Lactalbumin,enzyme,"Milk sugar synthesis enzyme",78,60,1997,"Works with galactosyltransferase to make lactose"
312,1HVQ,HIV-1 Capsid,viral,"HIV shell protein",90,78,2013,"New target for lenacapavir, injectable HIV drug"
313,2ZTB,Zika Virus Envelope,viral,"Zika surface protein",85,82,2016,"Causes microcephaly in babies"
314,3J27,Dengue Virus Envelope,viral,"Dengue fever surface protein",88,78,2013,"Infects 400 million people yearly"
315,3H5S,Ebola Glycoprotein,viral,"Ebola virus surface protein",88,90,2008,"Target of antibody treatments for Ebola"
316,1QGT,Rabies Glycoprotein,viral,"Rabies virus surface protein",88,82,2002,"Almost 100% fatal without treatment"
317,1ZTX,Norovirus Capsid,viral,"Stomach flu virus shell",85,80,2006,"Just 18 virus particles can cause infection"
318,1QGC,Rotavirus Capsid,viral,"Child diarrhea virus shell",88,72,1999,"Vaccine saves half million lives per year"
319,1AYM,Poliovirus Capsid,viral,"Polio virus shell",92,88,1985,"Polio nearly eradicated thanks to vaccines"
320,2WEL,HPV Capsid,viral,"Papillomavirus shell, vaccine target",92,85,2009,"Vaccine prevents cervical cancer"
321,1QIW,Hepatitis B Surface Antigen,viral,"Hep B vaccine antigen",92,82,1999,"First recombinant vaccine ever made"
322,4WTA,Hepatitis C Polymerase,enzyme,"Hep C replication enzyme",90,78,2015,"Target of new drugs that cure Hep C"
323,1HBV,Hepatitis B Polymerase,enzyme,"Hep B replication enzyme",88,72,2015,"Target of antiviral drugs for Hep B"
324,1HSV,Herpes Thymidine Kinase,enzyme,"Acyclovir target enzyme",85,78,1995,"Gertrude Elion won Nobel for acyclovir"
325,1CMW,CMV Protease,enzyme,"Cytomegalovirus protease",82,60,1996,"CMV dangerous in immunocompromised"
326,1QHI,Adenovirus Hexon,viral,"Common cold virus shell protein",80,72,1991,"Modified adenoviruses used as vaccine vectors"
327,1RNA,TMV Coat Protein,viral,"Tobacco mosaic virus shell",75,78,1989,"First virus ever discovered (1892)"
328,2BTV,Bluetongue Virus Capsid,viral,"Animal disease virus shell",75,55,1998,"Devastating disease of sheep"
329,1FMD,Foot-and-Mouth Virus,viral,"Highly contagious livestock virus",85,78,1989,"1967 UK outbreak led to 6 million animal deaths"
330,1DAN,Annexin,regulatory,"Calcium-dependent membrane binder",78,58,1990,"Family of proteins that bind membranes"
331,1S4P,S1P Receptor,receptor,"Sphingosine-1-phosphate receptor",85,72,2012,"Target of MS drug fingolimod"
332,1PGE,Prostaglandin E Synthase,enzyme,"Makes inflammatory prostaglandins",85,62,2008,"New anti-inflammatory drug target"
333,1CX2,COX-2 with Inhibitor,enzyme,"COX-2 bound to celecoxib-type drug",88,78,1997,"Shows how selective NSAIDs work"
334,1PTE,Phosphotriesterase,enzyme,"Nerve agent detoxifying enzyme",82,68,1994,"Could protect against chemical weapons"
335,1OXY,Oxygenase,enzyme,"Inserts oxygen into molecules",80,55,2008,"Useful for green chemistry applications"
336,1DIO,Dioxygenase,enzyme,"Biodegradation enzyme",78,52,1995,"Bacteria use this to eat pollutants"
337,1EPO,EPO Receptor Complex,receptor,"Erythropoietin bound to receptor",88,72,1998,"Shows how EPO signals red blood cell production"
338,1GHR,Growth Hormone Receptor,receptor,"How growth hormone signals",88,70,1992,"Mutations cause Laron syndrome dwarfism"
339,1PRN,Prolactin Receptor,receptor,"Milk production hormone receptor",82,55,1998,"Activates during breastfeeding"
340,1M4U,Leptin Receptor,receptor,"Appetite hormone receptor",88,70,2010,"Defective receptor causes severe obesity"
341,1PYY,PYY,signaling,"Satiety hormone",82,62,2005,"Released after meals to signal fullness"
342,1GCG,Glucagon,signaling,"Raises blood sugar hormone",90,78,1989,"Opposite effect of insulin"
343,1GLP,GLP-1,signaling,"Incretin hormone, diabetes drug target",92,88,2010,"GLP-1 drugs like Ozempic cause weight loss"
344,1AME,Amylin,signaling,"Appetite and glucose regulating hormone",82,60,2001,"Co-secreted with insulin"
345,1GHB,Ghrelin,signaling,"Hunger hormone",88,78,2008,"Only hormone that increases appetite"
346,1ADI,Adiponectin,signaling,"Fat tissue metabolic hormone",88,72,2004,"Higher levels associated with lower diabetes risk"
347,1RES,Resistin,signaling,"Links obesity to diabetes",80,55,2003,"Controversial role in human metabolism"
348,1VIS,Visfatin,enzyme,"Fat tissue enzyme with hormone effects",75,48,2005,"Actually an NAD biosynthesis enzyme"
349,1ORT,Orexin,signaling,"Wakefulness and appetite hormone",88,72,1998,"Deficiency causes narcolepsy"
350,1MSH,Alpha-MSH,signaling,"Melanocyte stimulating hormone",82,65,1998,"Affects skin pigmentation and appetite"
351,1AOT,Agouti Protein,signaling,"Blocks MSH, affects color and weight",78,60,1999,"Yellow mice with this mutation become obese"
352,1POC,POMC,signaling,"Precursor to multiple hormones",88,70,2008,"Cut into ACTH, MSH, endorphin, and more"
353,1END,Endorphin,signaling,"Natural painkiller opioid",90,88,2003,"Runner's high comes from endorphin release"
354,1ENK,Enkephalin,signaling,"Small opioid peptide",85,72,1988,"First endogenous opioid discovered"
355,1DYN,Dynorphin,signaling,"Opioid peptide, pain and mood",82,58,1996,"May mediate dysphoria in addiction withdrawal"
356,1SUB,Substance P,signaling,"Pain and inflammation neuropeptide",85,70,1991,"Released by sensory neurons during pain"
357,1NPY,Neuropeptide Y,signaling,"Increases appetite, reduces anxiety",88,72,1991,"One of most abundant neuropeptides in brain"
358,1VIP,VIP,signaling,"Vasoactive intestinal peptide",82,60,2000,"Dilates blood vessels and relaxes muscles"
359,1CCK,Cholecystokinin,signaling,"Satiety and digestion hormone",85,65,2005,"Stimulates gallbladder contraction"
360,1GAS,Gastrin,signaling,"Stimulates stomach acid secretion",82,62,1993,"Overproduction causes Zollinger-Ellison syndrome"
361,1SEC,Secretin,signaling,"First hormone ever discovered",82,70,2006,"Discovered in 1902 by Bayliss and Starling"
362,1MOT,Motilin,signaling,"Gut motility hormone",78,52,2012,"Erythromycin antibiotic mimics motilin effects"
363,1ANP,Atrial Natriuretic Peptide,signaling,"Heart hormone that lowers blood pressure",90,72,2003,"Heart makes hormone - revolutionary discovery"
364,1BNP,BNP,signaling,"Heart failure blood test marker",92,82,2004,"High BNP indicates heart is stressed"
365,1ADR,Adrenomedullin,signaling,"Blood vessel dilating peptide",82,55,2012,"Discovered in tumor of adrenal gland"
